Protein ID,plasma,type_x,liver,type_y,kleiner,Gene name,Genename_ProteinID
A0A024R6I7,3.6949208148184596,plasma,5.409894307668082,liver,1.0,SERPINA1,SERPINA1__A0A024R6I7
A0A075B6K5,5.549201386748356,plasma,4.329185710184963,liver,1.0,IGLV3-9,IGLV3-9__A0A075B6K5
A0A075B6P5,5.782172733833584,plasma,5.503390580304284,liver,1.0,IGKV2-28;IGKV2D-28,IGKV2-28;IGKV2D-28__A0A075B6P5
A0A075B6R9,5.360754599479006,plasma,5.367397711751073,liver,1.0,IGKV2D-24;IGKV2-24,IGKV2D-24;IGKV2-24__A0A075B6R9
P06310,4.941314178895264,plasma,5.200115312179286,liver,1.0,P06310,P06310__P06310
A0A087WSY5,4.561515607737008,plasma,4.690421201144559,liver,1.0,CPB2,CPB2__A0A087WSY5
Q99460,5.945599573851632,plasma,5.381131868711227,liver,1.0,Q99460,Q99460__Q99460
P05062,4.269118930723566,plasma,7.69910308651636,liver,1.0,P05062,P05062__P05062
A0A087X1J7,4.977475993991844,plasma,4.792570273893311,liver,1.0,GPX3,GPX3__A0A087X1J7
A0A0A0MRJ7,4.490427854875281,plasma,4.37199134373063,liver,1.0,F5,F5__A0A0A0MRJ7
A0A0A0MRZ8,6.329826724063639,plasma,5.736621659456777,liver,1.0,IGKV3D-11;IGKV3-11,IGKV3D-11;IGKV3-11__A0A0A0MRZ8
P01857,7.549341879677949,plasma,6.473609285200097,liver,1.0,P01857,P01857__P01857
A0A0A0MS09,5.437195303772513,plasma,5.011787047967944,liver,1.0,IGHD,IGHD__A0A0A0MS09
A0A0A0MS15,5.210673388198067,plasma,4.352622094208972,liver,1.0,IGHV3-49,IGHV3-49__A0A0A0MS15
A0A0A0MTS7,4.7279995683598175,plasma,5.657383572533096,liver,1.0,TTN,TTN__A0A0A0MTS7
A0A0B4J1V0,5.161196075650812,plasma,4.32545637134611,liver,1.0,IGHV3-15,IGHV3-15__A0A0B4J1V0
A0A0B4J1X5,4.6061517780827685,plasma,5.501680247959984,liver,1.0,IGHV3-74,IGHV3-74__A0A0B4J1X5
A0A0B4J1Y9,5.104080383382863,plasma,4.75786707554001,liver,1.0,IGHV3-72,IGHV3-72__A0A0B4J1Y9
A0A0B4J231,6.599115558979454,plasma,5.888273590225489,liver,1.0,IGLL5,IGLL5__A0A0B4J231
A0A0B4J2B5,6.283409901823823,plasma,5.568399679081633,liver,1.0,IGHV3OR16-9,IGHV3OR16-9__A0A0B4J2B5
A0A0C4DH31,4.810166125025542,plasma,4.684112741424333,liver,1.0,IGHV1-18,IGHV1-18__A0A0C4DH31
A0A0C4DH38,5.224882169083495,plasma,5.0443482382016285,liver,1.0,IGHV5-51,IGHV5-51__A0A0C4DH38
A0A0C4DH67,5.197820677476275,plasma,4.18531803224383,liver,1.0,IGKV1-8,IGKV1-8__A0A0C4DH67
A0A0G2JIW1,4.026753844393371,plasma,6.034991720515645,liver,1.0,HSPA1B;HSPA1A;HSPA1B,HSPA1B;HSPA1A;HSPA1B__A0A0G2JIW1
A0A0G2JMB2,6.424543784147964,plasma,6.351098663642157,liver,1.0,IGHA2,IGHA2__A0A0G2JMB2
A0A0J9YY99,5.979658840572337,plasma,4.465600083860572,liver,1.0,A0A0J9YY99,A0A0J9YY99__A0A0J9YY99
A0A0J9YYC8,6.448274708894581,plasma,5.493119301670915,liver,1.0,PRSS2,PRSS2__A0A0J9YYC8
P07225,5.429785022473226,plasma,4.9923377390778185,liver,1.0,P07225,P07225__P07225
A0A0U1RR20,4.808891768059969,plasma,4.82409058066594,liver,1.0,PRG4,PRG4__A0A0U1RR20
A0A140TA41,4.094610863032137,plasma,4.995709695505174,liver,1.0,A0A140TA41,A0A140TA41__A0A140TA41
A0A182DWH7,4.797675258090049,plasma,5.0525491550171,liver,1.0,SELENOP,SELENOP__A0A182DWH7
A0A1B0GUU9,6.530703680488068,plasma,5.413838289571199,liver,1.0,IGHM,IGHM__A0A1B0GUU9
P01860,6.246921836220026,plasma,5.555597331022377,liver,1.0,P01860,P01860__P01860
A0A286YEY1,7.087842264448569,plasma,6.107767239290535,liver,1.0,IGHA1,IGHA1__A0A286YEY1
P01859,7.174186325195497,plasma,6.164291313978393,liver,1.0,P01859,P01859__P01859
