,Protein ID,Gene names
0,A0A024R6I7,SERPINA1
1,A0A075B6I0,IGLV8-61
2,A0A075B6J9,IGLV2-18
3,A0A075B6R9,IGKV2D-24
4,A0A075B6S2,IGKV2D-29
5,A0A087WTK0,PTPRJ
6,A0A087WUI2,HNRNPA2B1
7,A0A087WV17,OSCAR
8,A0A087WWU8,TPM3
9,A0A087WXI5,CDH1
10,A0A087WZ31,MAN1C1
11,A0A087WZR4,FCGR3B
12,A0A087X089,CCL14
13,A0A087X0M8,CHL1
14,A0A087X0P0,CENPE
15,A0A087X0S5,COL6A1
16,A0A087X1J7,GPX3
17,A0A087X1W8,CADM1
18,A0A096LPE2,SAA2-SAA4
19,A0A0A0MRJ7,F5
20,A0A0A0MRL8,PDE4DIP
21,A0A0A0MRZ8,IGKV3D-11
22,A0A0A0MS08,IGHG1
23,A0A0A0MS09,IGHD
24,A0A0A0MSA9,PVR
25,A0A0A0MSD0,SVEP1
26,A0A0A0MSN4,ACE
27,A0A0A0MSV6,C1QB
28,A0A0B4J1V0,IGHV3-15
29,A0A0B4J231,IGLL5
30,A0A0B4J259,LYZ
31,A0A0B4J2B5,IGHV3OR16-9
32,A0A0C4DFP6,CRTAC1
33,A0A0C4DGZ8,GP1BA
34,A0A0C4DH34,IGHV4-28
35,A0A0C4DH38,IGHV5-51
36,A0A0C4DH43,IGHV2-70D
37,A0A0C4DH72,IGKV1-6
38,A0A0D9SEN1,FAP
39,A0A0D9SFB5,ADH4
40,A0A0G2JIW1,HSPA1B
41,A0A0G2JMB2,IGHA2
42,A0A0G2JMY9,LILRA3
43,A0A0G2JPR0,C4A
44,A0A0J9YY99,
45,A0A0J9YYC8,PRSS2
46,A0A0U1RQV3,EFEMP1
47,A0A0U1RR20,PRG4
48,A0A0U1RR32,HIST1H3D
49,A0A140T921,HLA-C
50,A0A140TA41,TNXB
51,A0A182DWH7,SELENOP
52,A0A1B0GUU9,IGHM
53,A0A1B0GV23,CTSD
54,A0A1W2PQB1,FCGR3A
55,A0A286YES1,IGHG3
56,A0A286YEY1,IGHA1
57,A0A286YEY4,IGHG2
58,A0A286YFJ8,IGHG4
59,A0M8Q6,IGLC7
60,A6NC48,BST1
61,A6XND0,IGFBP3
62,B0QYF8,MB
63,B0YIW2,APOC3
64,B1AHL2,FBLN1
65,B1AKG0,CFHR1
66,B1ALD9,POSTN
67,B1B0D4,ADAMTSL2
68,B4DPQ0,C1R
69,B4DUR8,CCT3
70,B4DV12,UBB
71,B4E1Z4,
72,B4E3Q4,ADA2
73,B5MCK8,GGT2
74,B7ZKJ8,ITIH4
75,B8ZZL8,HSPE1
76,C9J8S2,RARRES2
77,C9JA05,JCHAIN
78,C9JF17,APOD
79,C9JIZ6,PSAP
80,C9JL85,MTPN
81,C9JPQ9,FGG
82,D3YTG3,ABI3BP
83,D6RAR4,HGFAC
84,D6RD58,LECT2
85,D6RF35,GC
86,D6RF86,CDH6
87,D6W5L6,SFTPB
88,E7END6,PROC
89,E7EQB2,LTF
90,E7ETH0,CFI
91,E7EUF1,ENPP2
92,E9PDY4,CR1
93,E9PEK4,CSF1R
94,E9PEP6,NRP1
95,E9PFZ2,CP
96,E9PHK0,CLEC3B
97,E9PK25,CFL1
98,E9PKE3,HSPA8
99,E9PQ80,CHMP4A
100,F2Z2G4,WFDC3
101,F5GWF6,CCT2
102,F5GY03,SPARC
103,F5GY80,C8B
104,F5GZS6,SLC3A2
105,F5H6X6,GANAB
106,F5H8B0,F7
107,F6SYF8,DKK3
108,F8W6I7,HNRNPA1
109,F8WD03,HYDIN
110,G3V2W1,SERPINA10
111,G3V4N7,CKB
112,G3V4U0,FBLN5
113,G3V5Z7,PSMA6
114,G3XAK1,MST1
115,G3XAP6,COMP
116,G8JLG2,CDSN
117,H0YAC1,KLKB1
118,H0YD13,CD44
119,H0YJW9,
120,H3BMH2,RAB11A
121,H3BR70,PKM
122,H7BY64,
123,H7BZ24,REG1B
124,H9KV31,NCAM2
125,I3L145,SHBG
126,I3L397,EIF5A
127,J3KNB4,CAMP
128,J3KPA1,CRISP3
129,J3KPS3,ALDOA
130,J3KPY9,ANTXR2
131,J3KS22,DCXR
132,J3KSD8,BLMH
133,J3QQR8,ICAM2
134,K4DIA0,ICOSLG
135,K7ER74,APOC4-APOC2
136,K7ERE3,KRT13
137,K7ERG9,CFD
138,K7ERI9,APOC1
139,M0R1Q1,C3
140,O00187,MASP2
141,O00391,QSOX1
142,O14498,ISLR
143,O14791,APOL1
144,O43852,CALU
145,O60814,HIST1H2BK
146,O75339,CILP
147,O75636,FCN3
148,O75882,ATRN
149,O75976,CPD
150,O95445,APOM
151,O95445-2,APOM
152,O95479,H6PD
153,O95497,VNN1
154,P00338,LDHA
155,P00352,ALDH1A1
156,P00367,GLUD1
157,P00387,CYB5R3
158,P00390,GSR
159,P00450,CP
160,P00488,F13A1
161,P00491,PNP
162,P00558,PGK1
163,P00734,F2
164,P00738,HP
165,P00739,HPR
